outrun|(1, [138622])
prove|(102, [1540, 2278, 6660, 7390, 8707, 9779, 15463, 16736, 18730, 19699, 44801, 45783, 45970, 49267, 51812, 52874, 54471, 55270, 59922, 59936, 59973, 60866, 77631, 80698, 87382, 88902, 93649, 102220, 104778, 109603, 114687, 134307, 144264, 145597, 164970, 165438, 166524, 174439, 174487, 175181, 178124, 178465, 179001, 179287, 184150, 186155, 186475, 189484, 190146, 190210, 191154, 191877, 192204, 196866, 200374, 206921, 208859, 213421, 215498, 217352, 217363, 218016, 219166, 225879, 226183, 226301, 231462, 231946, 232951, 234929, 238136, 239713, 241021, 244455, 250212, 259348, 268366, 269035, 269513, 279496, 282572, 283811, 284028, 284759, 309643, 325569, 327571, 329874, 330000, 330899, 331240, 331281, 331724, 333380, 335202, 338291, 349067, 349107, 350239, 350474, 351037, 352210])
obey|(9, [25879, 110458, 116388, 199707, 248329, 262046, 267045, 272984, 289571])
postponing|(1, [316726])
obtain|(91, [778, 5119, 8322, 8681, 14477, 17968, 18054, 20153, 24142, 24267, 25904, 28391, 33059, 36634, 37616, 38084, 38089, 38432, 38976, 43893, 43896, 50717, 51226, 70352, 70441, 72998, 74592, 85057, 88056, 96892, 100422, 109301, 118209, 118534, 118546, 134853, 136112, 142361, 149944, 157551, 158813, 158970, 165907, 170723, 173149, 182579, 183641, 184110, 190293, 192297, 194729, 196553, 196893, 197954, 204068, 205756, 208202, 209494, 210089, 211917, 213254, 214299, 217122, 217422, 217512, 231305, 234382, 235490, 235647, 237031, 243135, 243439, 252806, 254133, 258760, 258905, 259602, 259935, 266721, 285187, 286002, 310538, 313223, 322437, 328638, 331371, 332264, 341865, 345523, 347334, 349060])
study|(4, [76896, 105250, 105253, 309792])
dictate|(2, [129181, 301817])
deject|(2, [2216, 239735])
heavens|(2, [37319, 306682])
acknowledge|(19, [18651, 35593, 40199, 117177, 126559, 161814, 163139, 264585, 286703, 289992, 290081, 293048, 294420, 309818, 317292, 325285, 337187, 353465, 355954])
accede|(1, [109685])
remote|(4, [161068, 163473, 353002, 354754])
coincide|(2, [51524, 326787])
ho|(1, [21282])
disengage|(4, [41160, 96692, 178111, 327213])
stiffen|(1, [110072])
inhabit|(5, [17508, 93766, 114636, 147255, 155220])
papier|(1, [323437])
slide|(9, [28427, 43999, 104125, 124607, 142924, 156005, 326942, 326947, 326980])
bound|(9, [131206, 158981, 172988, 202073, 223874, 229841, 284647, 284926, 360252])
fence|(1, [324222])
sanction|(1, [145669])
therein|(2, [245906, 247351])
profess|(10, [19083, 20002, 52443, 103023, 109541, 153247, 245669, 265068, 353197, 353274])
gainsay|(2, [59998, 132238])
henceforward|(1, [283882])
tower|(7, [80680, 81052, 99812, 135211, 203744, 269979, 303893])
yowl|(1, [148701])
enforce|(4, [101322, 198474, 285993, 359494])
forgive|(3, [90589, 207867, 308588])
lapse|(4, [138507, 138740, 141607, 145449])
unaccustomed|(1, [110810])
straight|(2, [180211, 230384])
ob|(2, [23586, 26524])
discriminate|(1, [88021])
skeered|(1, [23307])
devour|(16, [37180, 142526, 149202, 183524, 184807, 185307, 188291, 212873, 213427, 216284, 226242, 228446, 230970, 306640, 312022, 320989])
p.|(5, [11870, 21122, 105812, 105825, 106096])
god|(1, [171992])
encase|(1, [103848])
become|(288, [178, 244, 1210, 2031, 2318, 4178, 4646, 7777, 10779, 11252, 12146, 14294, 14522, 14745, 15074, 15172, 15408, 16452, 16489, 16632, 16995, 19822, 20324, 22984, 24815, 25758, 26081, 27326, 27432, 28000, 28614, 29392, 29813, 30903, 31048, 31412, 31574, 31769, 35170, 36113, 36915, 38860, 39879, 40311, 41535, 46581, 52328, 57525, 57983, 58811, 58900, 58970, 59461, 60606, 62207, 63453, 64243, 64273, 66729, 68402, 70686, 71520, 71819, 73888, 74374, 74881, 75538, 76166, 76827, 77380, 78080, 78523, 78536, 78601, 80583, 81003, 82030, 83193, 83778, 85054, 88081, 90790, 92766, 95907, 96091, 97234, 98272, 99668, 101708, 103573, 104242, 105651, 108546, 108909, 112597, 113891, 114554, 117033, 119497, 122285, 123780, 123900, 125794, 126206, 129560, 130206, 131276, 132781, 133212, 133279, 134444, 135870, 138093, 139844, 140183, 140348, 141347, 143080, 144645, 145516, 146798, 147585, 149089, 149986, 150497, 150520, 150638, 150671, 153370, 153504, 153629, 154023, 154231, 155610, 155804, 155867, 155997, 157032, 160232, 160341, 163796, 164410, 164930, 165366, 169580, 169588, 170350, 170842, 172191, 172216, 172831, 175618, 176424, 178649, 178944, 181072, 182296, 183723, 183899, 184350, 185473, 186515, 187224, 187317, 193198, 194959, 198601, 198754, 201954, 202425, 205717, 206231, 206272, 206361, 206701, 207580, 208698, 208987, 210520, 210983, 211005, 211817, 212296, 213326, 214311, 216686, 217713, 217892, 224282, 226596, 234303, 235913, 236806, 238223, 240565, 241857, 242503, 243639, 245979, 246164, 246821, 247014, 247915, 248502, 248970, 249912, 250411, 250889, 251082, 252112, 252170, 252368, 252375, 252717, 252748, 253223, 253333, 254576, 254682, 254816, 255046, 255875, 256540, 256831, 256991, 257220, 257442, 257502, 258470, 260059, 260428, 264283, 265502, 265630, 268906, 270549, 278830, 279332, 280880, 282804, 282863, 282926, 282951, 283220, 283950, 284037, 284170, 290229, 290373, 291029, 291052, 291583, 292180, 292188, 297914, 305157, 306387, 306883, 308328, 310198, 311308, 318293, 322081, 322585, 323736, 326029, 328863, 331941, 332744, 334606, 335614, 338936, 340849, 341906, 342357, 342379, 342511, 342546, 352802, 354551, 355406, 356454, 356861, 357330, 357424, 358184, 361066, 361211])
kraut|(1, [277304])
greece|(1, [293306])
dispute|(9, [59895, 86900, 86922, 120012, 165002, 173259, 189664, 320009, 338739])
sweep|(16, [77621, 99980, 100667, 141522, 154656, 154829, 157749, 158073, 202483, 203124, 203436, 203753, 215136, 217102, 269525, 354010])
converse|(16, [39388, 40552, 42042, 42859, 45187, 83351, 92128, 103126, 103319, 209798, 234058, 258078, 261375, 286710, 287121, 358709])
strict|(2, [245800, 245882])
incrust|(1, [46451])
dismasted|(1, [177565])
shuffle|(3, [165339, 324363, 330348])
sixty|(2, [218234, 293291])
parentheses|(1, [129906])
slouch|(2, [314574, 315464])
copy|(13, [18613, 63620, 71980, 89320, 103005, 109722, 188930, 292620, 312509, 322818, 339391, 344922, 351298])
mankind|(2, [102942, 321393])
insight|(1, [33179])
begging|(1, [294483])
winter|(1, [224574])
define|(17, [14314, 16106, 110720, 114238, 138234, 155468, 162210, 163489, 220393, 247191, 252030, 252486, 277955, 282470, 309952, 309968, 355520])
bail|(1, [176235])
recrossed|(2, [68748, 250363])
conduit|(1, [329272])
foremost|(1, [213223])
inform|(25, [20621, 37099, 53776, 69957, 73122, 93755, 119955, 146288, 146304, 182547, 235783, 238638, 278892, 287092, 293328, 293601, 297407, 309753, 311836, 315785, 316601, 325017, 346661, 347277, 353284])
